period;inflation_D;inflation_CPI;output;lab share
1993 Q3;0.010449087;0.006113129;355841;0.660440106
1993 Q4;0.01047028;0.003710278;358264;0.658572888
1994 Q1;0.004692133;0.005495212;361793;0.646735371
1994 Q2;-0.004654148;0.004661063;365109;0.646422386
1994 Q3;0.002823828;0.003678018;368798;0.652736121
1994 Q4;0.013810751;0.003362141;370401;0.645769436
1995 Q1;0.002767921;0.011730303;372307;0.649608906
1995 Q2;0.007870457;0.005468277;373090;0.656675092
1995 Q3;0.007101508;0.006068398;377249;0.648154504
1995 Q4;0.011679635;0.005227377;378442;0.646901607
1996 Q1;0.009759107;0.009115417;380976;0.643731116
1996 Q2;0.018175677;0.003736999;382146;0.636362479
1996 Q3;0.007152596;0.004650429;385671;0.632780666
1996 Q4;-0.002832584;0.005777526;391053;0.629213898
1997 Q1;-0.014617962;0.004018984;397303;0.643227897
1997 Q2;0.00263236;0.002312352;401790;0.655653953
1997 Q3;0.022300901;0.007336748;405233;0.64172986
1997 Q4;-0.023727325;0.003869394;411352;0.660060885
1998 Q1;0.011917259;0.002679115;414377;0.645084113
1998 Q2;0.002502731;0.004363378;416909;0.653421824
1998 Q3;0.006626545;0.002914664;418294;0.661650657
1998 Q4;0.006625897;0.003663508;421074;0.656376005
1999 Q1;0.00122009;0.004691136;423875;0.674210455
1999 Q2;0.00491285;0.003282782;425920;0.684623104
1999 Q3;-0.003855157;0.000913704;432860;0.690797105
1999 Q4;0.007381239;0.002093732;439093;0.682426616
2000 Q1;0.006083923;0.001095159;444540;0.677989267
2000 Q2;-0.001463763;0.00243454;447825;0.690301707
2000 Q3;0.001836839;0.002183155;450688;0.698818713
2000 Q4;0.001770271;0.004326254;453447;0.709861203
2001 Q1;0.006858276;-0.000531058;457680;0.71366579
2001 Q2;0.009249625;0.008912752;459620;0.702811245
2001 Q3;-0.00019679;0.003232749;462016;0.702784471
2001 Q4;-0.002354468;-0.001711297;463404;0.706856588
2002 Q1;0.011446358;0.004182307;464698;0.703037809
2002 Q2;0.005503849;0.004130556;466935;0.697862
2002 Q3;0.005357706;0.00327047;470277;0.692210378
2002 Q4;0.008823546;0.003340784;473899;0.686387938
2003 Q1;0.003447495;0.004268807;477357;0.689888835
2003 Q2;0.008861154;0.001720361;481552;0.682559405
2003 Q3;0.005185388;0.003747479;485973;0.684802819
2003 Q4;0.000954809;0.004127848;490059;0.692793848
2004 Q1;0.003294591;0.003301289;492014;0.705128149
2004 Q2;0.01562045;0.002929096;494824;0.687989528
2004 Q3;0.001957793;0.002075112;496642;0.697982729
2004 Q4;0.015945456;0.005526196;499020;0.694296654
2005 Q1;0.00064821;0.00622475;502702;0.701743298
2005 Q2;0.012657304;0.005283239;506906;0.685716921
2005 Q3;0.00171932;0.006381911;511132;0.692674
2005 Q4;0.004757254;0.003385324;515935;0.682997467
2006 Q1;0.006774031;0.004571185;518495;0.701050717
2006 Q2;0.012498692;0.008567787;520318;0.684292947
2006 Q3;0.007604486;0.00703123;521780;0.689277479
2006 Q4;9.27083E-05;0.006492025;524569;0.706179385
2007 Q1;0.001659949;0.006487664;529398;0.715261484
2007 Q2;0.016944886;0.004805738;533187;0.695377562
2007 Q3;0.000894062;-0.000290095;537052;0.704190105
2007 Q4;0.00160508;0.009892752;540258;0.697773095
